Machine number;Part number;Part name
62900;6001150810;Metrische Schraube M5x17,4-8.8
62903;6327402809;ALtracs Plus Schraube AP 50x14/12
62914;4212081804;DELTA  PT Schraube 40x27/17,7-R-EC1
62912;6327084801;ALtracs Plus Schraube AP 40x16/12
62905;6001785819;Metrische Schraube M6x25-08.8
62912;4212592809;DELTA PT Schraube 40x12
62905;6820001806;ALtracs XT Schraube 60x20/18
62915;4221283801;DELTA  PT Schraube 45x14
62900;6000944340;Metrische Schraube M5x8-CH
62912;6501503609;Spiralform Plus Schraube SF M4x12
62912;4230325801;DELTA  PT Schraube 40x14
62906;6317310809;ALtracs Plus Schr. AP 40x14/12
62915;6414366609;SHEETtracs Schraube 50x15,5
62917;6397505809;ALtracs Plus Schraube AP 40x16/12
62912;6397516809;
62912;6320023801;ALtracs Schraube 30x7
62917;4200456801;DELTA  PT Schraube 40x12
62906;6424112609;SHEETtracs Schraube 40x8
62906;4221303809;DELTA PT Schraube 40x18
62919;6001716819;Metrische Schraube M6x25-CH-8.8-EC1
62912;4221492804;DELTA PT Schraube 30x18/8-EC1
62918;4220288801;DELTA  PT Schraube 40x12-Z
62901;6002219819;
62905;4212703809;DELTA PT Schraube 60x18
62905;6001662809;Metrische Schraube M6x40-CH-8.8-E8
62916;6397825809;ALtracs Plus Schraube AP 40x10/9
62907;6300119809;ALtracs Schraube 60x14
62914;6001496809;Metrische Schraube M5x20-CH-10.9
62919;6001659819;Metrische Schraube M6x22-8.8
62916;4015191809;PT Schraube K40x24,5-PBP
62901;6414185609;SHEETtracs Schraube 50x12
62918;6001723809;Metrische Schraube M4x10-CH-8.8
62914;6009133819;Metrische Schraube M5x20-CH-8.8
62914;6307216809;ALtracs Plus Dobo AP 60x10,5/M6x22-EP5
62918;5000391609;Blechschraube ST4,2x16-R
62905;4212230801;DELTA PT Schraube 60x25
62914;6001306819;Doppelbolzen M6x16/Ø6,55x10-8.8
62916;4014825809;PT Schraube K40x12
62916;4013698809;PT Schraube K35x13
62916;4210397809;DELTA  PT Schraube 40x10
62905;4212787809;DELTA PT Schraube 60x20,55-Z
62912;4014622807;PT Schraube KA35x8
62918;4230260809;DELTA PT Schraube 40x16
62901;6001711320;Metrische Schraube M3,5x9,5-LD
62918;4212507800;DELTA  PT Schraube 40x12
62914;4015116809;PT Schraube K40x14
62923;6327366809;ALtracs Plus Schraube AP 40x10
62912;6002139819;
62905;4220764329;DELTA  PT Schraube 60x18
62918;5001041609;Blechschraube ST3,5x13-C-Z
62917;4212801809;
62916;4221464809;DELTA PT Schraube 40x40
62923;4230811809;DELTA PT Schraube 40x16
62917;4220675809;DELTA PT Schraube 30x12
62916;6404131609;SHEETtracs Schraube 40x9,5
62916;4221161809;DELTA  PT Schraube 40x27
62912;6414367601;SHEETtracs Schraube 35x12
62903;4411370809;PT Typ DG Schraube 50x55/25-Z
62917;4221176801;DELTA PT Schraube 30x12
62909;4412121809;PT Typ DG Schraube 40x20-Z
62916;6002241819;
62915;6001951809;Metrische Schraube M5x20-CH-10.9
62915;4224083804;DELTA PT Schraube 50x16/11-DS-EC1
62916;4010106801;PT Schraube KA40x12
62900;6429520601;SHEETtracs Schraube WN5252 50x20
62900;6424123601;SHEETtracs Schraube 50x20
62915;6001356810;Metrische Schraube M5x20-RL-8.8
62905;1000422807;EP Doppelbolzen Ø8,5x16/M8x30
62916;4230109809;DELTA PT Schraube 40x12
62915;4212806809;DELTA PT Schraube 50x16
62917;6414172609;SHEETtracs Schraube 30x10
62917;4015195809;
62917;4014592801;PT Schraube KA30x10
62916;4212345809;DELTA PT Schraube 35x12
62912;4221503320;
62924;4221320801;DELTA PT Schraube 40x12
62918;4211262809;DELTA PT Schraube 50x16
62916;4210501809;DELTA  PT Schraube 40x14
62923;4212722804;DELTA PT Schraube 40x14-EC1
62919;6005167819;Metrische Schraube M8x35-8.8
62917;4211914809;DELTA  PT Schraube 30x26
62904;4015068809;PT Schraube K50x16
62904;6307108809;ALtracs Plus Schraube AP 50x20/15
62905;4014689801;PT Schraube K70x35
62915;4014070809;PT Schraube K50x12
62917;6002141819;
62912;4230103801;DELTA PT Schraube 30x8-Z
62904;6000598409;Metrische Schraube M6x14,5-4.8
62918;5000399609;Blechschraube ST4,8x45-R
62916;4212698809;DELTA PT Schraube 60x69,5/35
62924;6001571811;Metrische Schraube M5x20-RL-10.9
62914;4230830809;
62916;6501530601;Spiralform Schraube SF M4x12-K-Z
62916;4230772809;DELTA PT Schraube 40x12
62914;4212321809;DELTA PT Schraube 40x14
62916;6307089806;
62917;4010480800;PT Schraube K40x12
62909;4221410809;DELTA PT Vida 40x14
