Machine number;Part number;Part name
62915;6397827801;ALtracs Plus Schraube AP 30x6
62909;6327250806;ALtracs Plus Schraube AP 50x13
62917;4211826809;DELTA  PT Schraube 35x13
62918;4229525801;DELTA PT Schraube WN5451 50x25
62918;5000988607;Blechschraube ST4,2x13-R
62915;4221161809;DELTA  PT Schraube 40x27
62917;4260170809;DELTA  PT Schraube 40x22
62904;4220909809;DELTA  PT Schraube 60x18
62904;6327028809;ALtracs Plus Schraube AP 60x16/14
62915;4212191801;DELTA  PT Schraube 40x25
62906;1000422807;EP Doppelbolzen Ø8,5x16/M8x30
62918;6327055809;ALtracs Plus Schraube AP 50x9
62908;6414172609;SHEETtracs Schraube 30x10
62923;4221164809;DELTA  PT Schraube 50x18
62904;6414171609;SHEETtracs Schraube 60x12
62916;4234622809;DELTA  PT Schraube 40x12/9-DS
62908;4221133809;DELTA PT Schraube 35x14
62905;4211258809;DELTA PT Schraube 80x22
62918;4014986809;PT Schraube K50x27
62904;4014709809;PT Schraube K60x20
62914;4221137809;DELTA  PT Schraube 40x18
62922;4212716804;DELTA PT Schraube 35x16,8-EC1
62914;4010480800;PT Schraube K40x12
62912;4224003809;DELTA  PT Schraube 40x12/9-DS
62908;4212615809;DELTA PT Schraube 30x8
62908;4220675809;DELTA PT Schraube 30x12
62915;4211195801;DELTA PT Schraube  40x10
62906;6002090819;Metrische Schraube M6x60-8.8-CH
62922;4012233809;PT Schraube KL40x19
62907;6001678809;Metrische Schraube M6x16-10.9
62907;6001506807;Metrische Schraube M6x13-8.8
62914;4010106801;PT Schraube KA40x12
62904;6424094609;SHEETtracs Schraube 50x10
62917;4014811801;PT Schraube 35x30
62901;6001732811;Metrische Schraube M6x37/16,5-8.8
62909;4010367320;PT Schraube WN1452 K50x18
62916;6424146609;SHEETtracs Schraube 50x14
62923;4230325801;DELTA  PT Schraube 40x14
62914;4210831809;DELTA  PT Schraube 40x16
62908;4211735809;DELTA  PT Schraube 30x18,3-R
62908;4220708809;DELTA PT Schraube 30x21-Z
62917;4211842801;DELTA  PT Schraube 40x10,5
62924;4014875809;PT Schraube K50x25
62917;4014394809;PT Schraube K40x20
62924;6414363609;SHEETtracs Schraube 50x15,5
62908;4212628809;DELTA PT Schraube 30x12-R
62913;6002104819;Metrische Schraube M6x38/18-RL-8.8
62917;6397824809;ALtracs Plus Schraube AP 30x8/7
62908;4221159800;DELTA  PT Schraube 30x11
62915;4221332809;DELTA PT Schraube 30x12
62907;6001728819;Metrische Schraube M5x12-8.8
62907;6001660819;Metrische Schraube M5x12-8.8
62906;6317217809;ALtracs Plus Schraube AP 60x16/14
62906;6404111601;SHEETtracs Sonderschraube 60x18
62908;6327418809;ALtracs Plus Schraube AP 30x26/7
62900;6397184800;ALtracs Plus Schraube AP40x12/10
62906;4211841809;DELTA  PT Schraube  60x20
62915;4211914809;DELTA  PT Schraube 30x26
62908;4212773809;DELTA PT Schraube 30x15
62915;4015116809;PT Schraube K40x14
62916;4212619809;DELTA PT Schraube 45x25-R
62915;4211857801;DELTA PT Schraube 35x8
62913;4411370809;PT Typ DG Schraube 50x55/25-Z
62922;6502353601;Spiralform Schraube SF M4x18-K
62914;4411984809;PT Typ DG Schraube 50x20-Z
62907;6501503609;Spiralform Plus Schraube SF M4x12
62907;4015148809;PT Schraube K40x10
62907;6397415809;ALtracs Plus Schraube AP 50x14
62906;6001510811;Metrische Schraube M5x10-8.8-RL
62906;4012498801;PT Schraube K40x30
62918;4015019804;PT Schraube K60x22-EC1
62903;6340033809;ALtracs Plus Schraube AP 60x18,45
62916;4212353809;DELTA PT Schraube 40x14
62908;4211211809;DELTA PT Schraube 30x8
62905;4014861809;PT Schraube K60x22
62919;6001516809;Metrische Schraube M 3X8-CH-10.9
62915;6454024609;SHEETtracs Schraube H40x8
62915;5000391609;Blechschraube ST4,2x16-R
62901;4221410809;DELTA PT Schraube 40x14
62924;1000482401;Bolzen Ø4,8x8
62904;6307197809;ALtracs Plus Schraube AP 60x17,7/14
62915;5001005609;Blechschraube ST4,2x33
62908;6424098607;SHEETtracs Schraube 30x10
62913;6327429809;ALtracs Plus Schraube AP 40x10/9
62914;6000546601;Metrische Schraube M4x13
62915;4212523809;DELTA PT Schraube 40x8
62912;4212771809;DELTA PT Schraube 30x20
62904;6397190809;ALtracs Plus Schraube AP 60x19/14
62909;6500606601;Spiralform Schraube SF M4x7-K
62913;1000137601;TT Schraube M5x11
62912;4230756809;DELTA PT Schraube 35x12
62915;4240055809;DELTA PT Schraube H40x14
62904;6001643811;Metrische Schraube A M6x20-CH-8.8-A2K
62912;6424099607;SHEETtracs Schraube 30x22
62904;6414162609;SHEETtracs Schraube 60x12
62913;4210490809;DELTA PT Schraube 50x16
62912;4212234809;DELTA  PT Schraube 35x10-DS
62901;4412121809;PT Typ DG Schraube 40x20-Z
62917;6001971806;Metrische Schraube M3x8-10.9
62900;6317183800;ALtracs Plus Schraube AP40x14/12
62916;6000638809;Metrische Schraube M3x30-10.9-A3K
62901;4410416809;PT Typ DG Schraube 40x18/10-Z
62918;4211825806;DELTA  PT Schraube 50x32
62908;4221300809;DELTA PT Schraube 30x12
62915;4014592801;PT Schraube KA30x10
62903;6000990819;Metrische Schraube M6x17-8.8
62916;4212770809;DELTA PT Schraube 30x10
62903;4212313809;DELTA PT Schraube 55x16-R
62918;4014070809;PT Schraube K50x12
62913;6328863809;ALtracs Plus Schraube AP 50x14/12
62915;6500215809;Spiralform Schraube SF M4x8-K
62916;4212527809;DELTA PT Schraube 35x14-R
62903;6001802829;Metrische Schraube M6x16-9.8
62916;4221415801;DELTA PT Schraube 35x10
62912;4014251809;PT Schraube K40x16
62903;6397236809;ALtracs Plus Schraube AP 60x55/18
62923;5000999609;Blechschraube ST4,2x9,5-R
62915;4150472809;PT Schraube KA40x10
62916;4211408809;DELTA  PT Schraube 30x16-R
62903;4212787809;DELTA PT Schraube 60x20,55-Z
62905;6307067809;ALtracs Plus Schraube AP100x22
62905;6307185809;ALtracs Plus Schraube AP 100x24,7/23
62917;5000383609;Blechschraube ST4,2x13-F
62918;6002142814;
62912;4015179809;
62912;6317265809;ALtracs Plus Schraube AP 50x16/15
62915;6501437601;Spiralform Schraube SF M3,5x6-K-H
62916;4230620809;DELTA PT Schraube 40x10
62916;6009160819;Metrische Schraube M4x6-CH-08.8
62905;6000541320;Metrische Schraube M6x22
62905;6307079809;ALtracs Plus Schraube AP 100x27
62916;6317332800;ALtracs Plus Schraube AP 40x30/12
62916;4220670809;DELTA  PT Schraube 40x16/9-DS
62914;4221245809;DELTA  PT Schraube 40x22/19-R
62913;6000657819;Metrische Schraube M5x12-8.8
62917;4200510809;DELTA  PT Schraube H40x12-R
62908;4212698809;DELTA PT Schraube 60x69,5/35
62908;6820001806;ALtracs XT Schraube 60x20/18
62922;6327522809;ALtracs Plus Schraube AP 40x12/10
62915;6001662809;Metrische Schraube M6x40-CH-8.8-E8
62905;4212617809;DELTA PT Schraube 60x20
62908;4220960809;DELTA PT Schraube 40x12
62905;6001166819;Metrische Schraube M6x16-CH-8.8
62901;6002198819;
62916;4230771809;DELTA PT Schraube 50x16
62918;4201016807;DELTA PT Schraube 60x30,1
62916;6500162609;Spiralform Schraube SF M5x16-K-L
62905;4212497801;DELTA  PT Schraube 60x38/24-Z
62904;4212230801;DELTA PT Schraube 60x25
62914;6002139819;
62901;6397828809;ALtracs Plus Schraube AP 40x14/12
62915;4220592801;DELTA PT Schraube 35x29/17-R
62904;6394007320;ALtracs Plus Schraube AP 60x29/22-SP
62918;4013831809;PT Vida K50x14
62900;6397185800;ALtracs Plus Schraube AP50x16/15
62905;4212497801;DELTA  PT Schraube 60x38/24-Z
62925;4211764809;DELTA PT Schraube 35x16
62903;4412275809;PT Typ DG Schraube 50x24/20-Z
62912;4220944809;DELTA PT Schraube 35x18
62918;4211749809;DELTA PT Schraube 50x15
62923;4014783801;PT Schraube K40x12,5
62922;6327109809;ALtracs Plus Schraube AP 40x10
62901;4412293809;PT Typ DG Schraube 40x18-Z
62906;6501363601;Spiralform Schraube SF M4x8,8
62909;6397828809;ALtracs Plus Schraube AP 40x14/12
62913;6001802829;Metrische Schraube M6x16-9.8
62914;4221333809;DELTA PT Schraube 30x9
62916;6397864809;ALtracs Plus Schraube AP50x15/12
62917;4220127809;DELTA PT Schraube 40x14
62919;6340033809;ALtracs Plus Schraube AP 60x18,45
62924;6454024609;SHEETtracs Schraube H40x8
62915;4412295809;PT Typ DG Schraube 50x60/20-Z
62904;4014861809;PT Schraube K60x22
62912;6414204609;SHEETtracs Schraube 35x12
62907;6001164809;Metrische Schraube M6x12,5-CH-10.9
62912;6422007609;SHEETtracs Schraube 35x12
62916;6404101609;SHEETtracs Schraube 50x10
62905;6397190809;ALtracs Plus Schraube AP 60x19/14
62907;6001165809;Metrische Schraube M6x12-10.9
62915;1000482401;Bolzen Ø4,8x8
62912;6424128609;SHEETtracs Schraube 35x12
62904;6001643811;Metrische Schraube A M6x20-CH-8.8-A2K
62924;6000657819;Metrische Schraube M5x12-8.8
62915;4014986809;PT Schraube K50x27
62914;6000638809;Metrische Schraube M3x30-10.9-A3K
62912;6317066801;ALtracs Plus Schraube AP 35x14/11
62922;6502353601;Spiralform Schraube SF M4x18-K
62900;6397184800;ALtracs Plus Schraube AP40x12/10
62914;6328000801;ALtracs Plus Schraube AP 30x8/7
62901;6397395809;ALtracs Plus Schraube AP 40x12/10
62906;4220612801;DELTA PT Schraube 40x12
62904;4211886809;DELTA PT Schraube 50x17
62919;6390190809;ALtracs Plus Schraube AP 60x19/15
62914;4220991801;DELTA  PT Schraube 30x10-R
62915;4014457809;PT Doppelbolzen K50x11/M5x13/E4
62905;6000667811;Metrische Schraube M6x30-8.8
62918;6414177609;SHEETtracs Schraube 50x15,5
62904;6502518609;Spiralform Schraube SF M5x10-K
62922;4220960809;DELTA PT Schraube 40x12
62918;4212084320;DELTA  PT Schraube 50x20
62916;6414162609;SHEETtracs Schraube 60x12
62914;4221332809;DELTA PT Schraube 30x12
62916;4014283801;PT Schraube K40x10
62905;6394007320;ALtracs Plus Schraube AP 60x29/22-SP
62913;6397386809;ALtracs Plus Schraube AP 60x27/10,5
62918;6414368809;SHEETtracs Schraube 50x15,5
62915;4210664809;DELTA  PT Schraube 40x18
62900;4230620809;DELTA PT Schraube 40x10
62925;4212527809;DELTA PT Schraube 35x14-R
62924;4011975801;PT Schraube K40x14
62912;6327752809;ALtracs Plus Schraube AP 30x7
62915;6414166609;SHEETtracs Schraube 40x16,2
62915;4212619809;DELTA PT Schraube 45x25-R
